0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:19:08 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:19:08 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:19:42 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:19:42 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css;jsessionid=77E072C475F5FAF54B24644E9BC5788F?ln=css HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:19:42 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 200 39083
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:19:42 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:10 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:10 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:10 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:25 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:25 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:25 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:23:16 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:23:16 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:23:16 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:23:18 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:23:18 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:23:18 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
