127.0.0.1 - - [31/Mar/2017:15:33:21 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:33:22 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4890
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:33:22 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css;jsessionid=EE71C00B11279D99BF1A43980A2FACCC?ln=css HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:33:54 -0400] "GET /08JDBC2/faces/add-student-form.xhtml HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:34:14 -0400] "GET /08JDBC2/faces/add-student-form.xhtml HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:34:22 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:37:04 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:37:04 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:37:05 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:37:05 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:38:37 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:38:37 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:39:10 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:39:10 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:39:11 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:39:11 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:39:23 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:39:23 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:41:40 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:41:40 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:42:28 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:42:28 -0400] "GET /08JDBC2/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [31/Mar/2017:15:42:47 -0400] "GET /08JDBC2/faces/list-students.xhtml HTTP/1.1" 200 4786
